notes,clef,name
C2;E2;G2,Bass,Do-Mi-Sol
D2;F2;A2,Bass,Re-Fa-La
E2;G2;B2,Bass,Mi-Sol-Si
F2;A2;C3,Bass,Fa-La-Do
G2;B2;D3,Bass,Sol-Si-Re
A2;C3;E3,Bass,La-Do-Mi
B2;D3;F3,Bass,Si-Re-Fa
C3;E3;G3,Bass,Do-Mi-Sol
D3;F3;A3,Bass,Re-Fa-La
E3;G3;B3,Bass,Mi-Sol-Si
F3;A3;C4,Bass,Fa-La-Do
G3;B3;D4,Bass,Sol-Si-Re
A3;C4;E4,Treble,La-Do-Mi
B3;D4;F4,Treble,Si-Re-Fa
C4;E4;G4,Treble,Do-Mi-Sol
D4;F4;A4,Treble,Re-Fa-La
E4;G4;B4,Treble,Mi-Sol-Si
F4;A4;C5,Treble,Fa-La-Do
G4;B4;D5,Treble,Sol-Si-Re
A4;C5;E5,Treble,La-Do-Mi
B4;D5;F5,Treble,Si-Re-Fa
C5;E5;G5,Treble,Do-Mi-Sol
D5;F5;A5,Treble,Re-Fa-La
E5;G5;B5,Treble,Mi-Sol-Si
F5;A5;C6,Treble,Fa-La-Do
G5;B5;D6,Treble,Sol-Si-Re
A5;C6;E6,Treble,La-Do-Mi
